klk_EN,year,month,day,iWarehouseSenderID,hours,cargotype,traffic_stream
160,2023,3,1,1545,15_16,0,0
51,2023,3,1,1545,19_20,0,1
28,2023,3,1,1545,10_11,0,0
24,2023,3,1,1545,08_09,0,1
49,2023,3,1,1545,15_16,0,1
249,2023,3,1,1545,17_18,0,0
550,2023,3,1,1545,18_19,0,0
88,2023,3,1,1545,14_15,0,1
53,2023,3,1,1545,13_14,0,1
60,2023,3,1,1545,11_12,0,0
17,2023,3,1,1545,08_09,0,0
90,2023,3,1,1545,14_15,0,0
60,2023,3,1,1545,09_10,0,1
78,2023,3,1,1545,18_19,0,1
37,2023,3,1,1545,11_12,0,1
10,2023,3,1,1545,09_10,0,0
42,2023,3,1,1545,20_21,0,1
53,2023,3,1,1545,13_14,0,0
61,2023,3,1,1545,17_18,0,1
65,2023,3,1,1545,12_13,0,1
25,2023,3,1,1545,20_21,0,0
1,2015,4,1,1545,11_12,1,1
1,2015,4,1,1545,12_13,1,1
1,2015,4,1,1545,13_14,1,1
1,2015,4,1,1545,15_16,1,1
1,2015,4,1,1545,19_20,1,1
1,2015,4,1,1545,21_22,0,1
1,2015,4,1,1545,9_10 ,1,0
1,2015,4,1,1545,9_10 ,1,1
2,2015,4,1,1545,03_04,0,1
2,2015,4,1,1545,14_15,1,1
2,2015,4,1,1545,18_19,1,1
7,2015,4,1,1545,08_09,0,1
8,2015,4,1,1545,08_09,0,0
10,2015,4,1,1545,9_10 ,0,0
11,2015,4,1,1545,10_11,0,0
13,2015,4,1,1545,9_10 ,0,1
19,2015,4,1,1545,11_12,0,1
21,2015,4,1,1545,11_12,0,0
26,2015,4,1,1545,20_21,0,0
38,2015,4,1,1545,14_15,0,0
42,2015,4,1,1545,15_16,0,1
43,2015,4,1,1545,13_14,0,0
48,2015,4,1,1545,12_13,0,1
49,2015,4,1,1545,15_16,0,0
54,2015,4,1,1545,17_18,0,1
55,2015,4,1,1545,12_13,0,0
68,2015,4,1,1545,18_19,0,0
70,2015,4,1,1545,10_11,0,1
70,2015,4,1,1545,16_17,0,0
70,2015,4,1,1545,18_19,0,1
75,2015,4,1,1545,16_17,0,1
83,2015,4,1,1545,19_20,0,1
101,2015,4,1,1545,13_14,0,1
102,2015,4,1,1545,14_15,0,1
104,2015,4,1,1545,20_21,0,1
117,2015,4,1,1545,17_18,0,0
